step,train_loss,val_loss
0,10.988557815551758,10.991071701049805
500,5.962586879730225,5.992961406707764
1000,5.133065223693848,5.134030342102051
1500,4.58981990814209,4.589818477630615
2000,4.297419548034668,4.341325759887695
2500,4.115573883056641,4.1354875564575195
3000,3.9993793964385986,4.019160270690918
3500,3.9299168586730957,3.949549436569214
4000,3.8688151836395264,3.8663134574890137
4500,3.8105175495147705,3.80535626411438
5000,3.7833056449890137,3.786120891571045
5500,3.7422587871551514,3.7509944438934326
6000,3.7199440002441406,3.699413299560547
6500,3.678231716156006,3.6921238899230957
7000,3.6572766304016113,3.6812961101531982
7500,3.6329033374786377,3.64288592338562
8000,3.6244754791259766,3.628328323364258
8500,3.620220899581909,3.6222634315490723
9000,3.570348024368286,3.6080329418182373
9500,3.5831470489501953,3.595407485961914
10000,3.562695264816284,3.5552268028259277
10500,3.5664429664611816,3.5598177909851074
11000,3.5367023944854736,3.5632972717285156
11500,3.5368552207946777,3.556499481201172
12000,3.54164457321167,3.534198045730591
12500,3.5273470878601074,3.526196241378784
13000,3.517387866973877,3.5233168601989746
13500,3.519139051437378,3.4986300468444824
14000,3.512157440185547,3.5309531688690186
14500,3.4882850646972656,3.4970791339874268
15000,3.486891269683838,3.4860076904296875
15500,3.4770121574401855,3.476165294647217
16000,3.4701523780822754,3.4686455726623535
16500,3.450627565383911,3.4824230670928955
17000,3.4494380950927734,3.4781291484832764
17500,3.463165283203125,3.474569797515869
18000,3.4242324829101562,3.4507155418395996
18500,3.460160732269287,3.4493446350097656
19000,3.44917631149292,3.438582181930542
19500,3.4461944103240967,3.4362449645996094
20000,3.441281795501709,3.4477038383483887
20500,3.440838575363159,3.448878049850464
21000,3.4277374744415283,3.427135944366455
21500,3.4220733642578125,3.4424350261688232
22000,3.443674087524414,3.408623456954956
22500,3.4034786224365234,3.4314093589782715
23000,3.429508686065674,3.4312973022460938
23500,3.410017728805542,3.429919719696045
24000,3.4039313793182373,3.4250006675720215
24500,3.4084746837615967,3.4285144805908203
25000,3.409162998199463,3.4143478870391846
25500,3.398146152496338,3.3863525390625
26000,3.3967432975769043,3.399264097213745
26500,3.3913750648498535,3.3844597339630127
27000,3.362797975540161,3.40234112739563
27500,3.3862545490264893,3.400761127471924
28000,3.366342067718506,3.383944272994995
28500,3.3710899353027344,3.3923568725585938
29000,3.37725830078125,3.4039998054504395
29500,3.3797073364257812,3.3617806434631348
30000,3.367562770843506,3.3701813220977783
30500,3.3721580505371094,3.376525402069092
31000,3.373467206954956,3.383816957473755
31500,3.3534436225891113,3.3697972297668457
32000,3.345412492752075,3.3755886554718018
32500,3.361098051071167,3.365572690963745
33000,3.357733964920044,3.3694801330566406
33500,3.345388889312744,3.3688507080078125
34000,3.3486971855163574,3.3664162158966064
34500,3.3354995250701904,3.3406004905700684
35000,3.344998836517334,3.3413021564483643
35500,3.340590715408325,3.3350837230682373
36000,3.305227756500244,3.3317501544952393
36500,3.337935209274292,3.3491649627685547
37000,3.331480026245117,3.345569610595703
37500,3.3352699279785156,3.3395957946777344
38000,3.3163018226623535,3.3345131874084473
38500,3.3074679374694824,3.3067374229431152
39000,3.3037772178649902,3.320509672164917
39500,3.3013412952423096,3.324923038482666
40000,3.3011538982391357,3.311890125274658
40500,3.295809507369995,3.2987289428710938
41000,3.311070680618286,3.308084011077881
41500,3.296530246734619,3.305077075958252
42000,3.2889976501464844,3.3023154735565186
42500,3.3084495067596436,3.329760789871216
43000,3.3139777183532715,3.311009168624878
43500,3.291628360748291,3.30153226852417
44000,3.2829699516296387,3.293242931365967
44500,3.2888317108154297,3.3072962760925293
45000,3.2729995250701904,3.299236297607422
45500,3.292907238006592,3.2683157920837402
46000,3.27960205078125,3.269901752471924
46500,3.2457938194274902,3.2787177562713623
47000,3.283398389816284,3.262408494949341
47500,3.2642815113067627,3.270841121673584
48000,3.2570316791534424,3.2710700035095215
48500,3.266528606414795,3.260669708251953
49000,3.2410888671875,3.2853589057922363
49500,3.253800630569458,3.275531053543091
50000,3.254084825515747,3.261171817779541
50500,3.2449562549591064,3.2581748962402344
51000,3.2480149269104004,3.2567806243896484
51500,3.2395732402801514,3.248608112335205
52000,3.239722728729248,3.2597737312316895
52500,3.2197062969207764,3.239434003829956
