step,train_loss,val_loss
0,2.993345260620117,3.0212740898132324
100,2.4567322731018066,2.494138717651367
200,2.375412702560425,2.461503028869629
300,2.3952410221099854,2.4292619228363037
400,2.3551723957061768,2.4342334270477295
500,2.339160203933716,2.3788464069366455
600,2.291715383529663,2.361302375793457
700,2.2472543716430664,2.305306911468506
800,2.283731460571289,2.303942918777466
900,2.2409322261810303,2.330718755722046
1000,2.1984734535217285,2.3366289138793945
1100,2.2056338787078857,2.3035237789154053
1200,2.1636617183685303,2.2950637340545654
1300,2.1645169258117676,2.3119726181030273
1400,2.1433475017547607,2.2873973846435547
1500,2.151736259460449,2.2563796043395996
1600,2.1054956912994385,2.238290786743164
1700,2.101506471633911,2.2665860652923584
1800,2.124389886856079,2.2382771968841553
1900,2.1260945796966553,2.274505853652954
2000,2.1027262210845947,2.2258567810058594
2100,2.0776591300964355,2.259239435195923
2200,2.1032090187072754,2.231234073638916
2300,2.052629232406616,2.252004384994507
2400,2.0774266719818115,2.2375049591064453
2500,2.0594420433044434,2.1867570877075195
2600,2.0275046825408936,2.189032554626465
2700,2.040841579437256,2.2376787662506104
2800,2.021055221557617,2.1935689449310303
2900,2.039824962615967,2.226558208465576
3000,2.0210068225860596,2.205810785293579
3010,2.0604543685913086,2.251770257949829
